Index,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),Outlier,Latitude,Longitude,TotalGHGEmissions,GHGEmissionsIntensity,Log2-SiteEnergyUseWN(kBtu)
2332,2016,NonResidential,Warehouse,2,GREATER DUWAMISH,1956,1.0,1.0,22509,0,22509,Non-Refrigerated Warehouse,22509.0,No Use,0.0,No Use,0.0,57.0,177812.7969,Normal,47.56362,-122.32876,1.24,0.06,17.440007744312975
2333,2016,NonResidential,Warehouse,2,GREATER DUWAMISH,1956,1.0,1.0,39984,0,39984,Non-Refrigerated Warehouse,31184.0,Office,8800.0,No Use,0.0,75.0,1163530.25,Normal,47.56424,-122.32902,36.82,0.92,20.150078528339535
2338,2016,SPS-District K-12,K-12 School,3,EAST,1925,1.0,2.0,73769,0,73769,K-12 School,73769.0,No Use,0.0,No Use,0.0,92.0,2904558.75,Normal,47.62442,-122.31838,94.85,1.29,21.469888077317304
2342,2016,NonResidential,Worship Facility,3,EAST,1906,1.0,1.0,26440,0,26440,Worship Facility,26440.0,No Use,0.0,No Use,0.0,91.0,826275.1875,Normal,47.62322037,-122.320017,27.93,1.06,19.656264565689735
2355,2016,SPS-District K-12,K-12 School,4,NORTHEAST,1961,1.0,1.0,43578,0,43578,K-12 School,45370.0,No Use,0.0,No Use,0.0,83.0,1436773.875,Normal,47.68503,-122.28267,24.63,0.57,20.45440259621003
2357,2016,NonResidential,Self-Storage Facility,3,GREATER DUWAMISH,1956,1.0,2.0,28800,0,28800,Self-Storage Facility,28800.0,No Use,0.0,No Use,0.0,,1266706.875,Normal,47.59291,-122.31042,29.44,1.02,20.272652421441695
2359,2016,NonResidential,K-12 School,3,CENTRAL,2009,4.0,2.0,28500,0,28500,K-12 School,31100.0,No Use,0.0,No Use,0.0,92.0,1300765.5,Normal,47.61791,-122.28594,28.64,1.0,20.31093057709405
2379,2016,NonResidential,Restaurant,3,LAKE UNION,1978,1.0,2.0,26519,0,26519,Restaurant,13592.0,Office,12927.0,No Use,0.0,,3717064.0,Normal,47.62902,-122.33173,97.27,3.67,21.825732486030095
2381,2016,NonResidential,Other,7,MAGNOLIA / QUEEN ANNE,1921,1.0,2.0,26300,0,26300,Other - Entertainment/Public Assembly,26300.0,No Use,0.0,No Use,0.0,,3711173.0,Normal,47.62643,-122.33946,116.94,4.45,21.82344421332707
2382,2016,NonResidential,Restaurant,7,LAKE UNION,1962,1.0,2.0,34072,0,34072,Restaurant,34072.0,No Use,0.0,No Use,0.0,,7007726.0,Normal,47.63734,-122.33988,226.81,6.66,22.740515142291546
2383,2016,NonResidential,Small- and Mid-Sized Office,7,LAKE UNION,1949,1.0,3.0,23355,0,23355,Office,21915.0,No Use,0.0,No Use,0.0,77.0,840549.375,Normal,47.63614,-122.33982,5.86,0.25,19.68097475860364
2384,2016,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1965,1.0,4.0,30840,0,30840,Office,29255.0,Restaurant,1180.0,No Use,0.0,30.0,3840161.75,Normal,47.63575,-122.33895,101.21,3.28,21.872736024448297
2385,2016,NonResidential,Other,4,NORTHEAST,1946,1.0,1.0,20332,0,20332,Other,20332.0,No Use,0.0,No Use,0.0,,431857.6875,Normal,47.67642,-122.3035,10.99,0.54,18.720199786375172
2392,2016,NonResidential,Worship Facility,3,CENTRAL,1900,1.0,1.0,21850,0,21850,Worship Facility,21850.0,No Use,0.0,No Use,0.0,100.0,359962.5938,Normal,47.61118,-122.288,13.09,0.6,18.457491476269094
2394,2016,NonResidential,Mixed Use Property,4,NORTHEAST,1997,1.0,4.0,32282,6985,25297,Multifamily Housing,12600.0,Parking,6985.0,Other,6576.0,,1500695.375,Normal,47.66827,-122.29978,34.62,1.07,20.51720068579553
2398,2016,NonResidential,Large Office,7,DOWNTOWN,1983,1.0,13.0,307557,83064,224493,Office,162422.0,Parking,83064.0,Multifamily Housing,55065.0,,9691704.0,Normal,47.60449,-122.33803,66.32,0.22,23.20831906145204
2402,2016,NonResidential,Self-Storage Facility,7,MAGNOLIA / QUEEN ANNE,1918,1.0,2.0,28309,0,28309,Self-Storage Facility,28309.0,No Use,0.0,No Use,0.0,,498364.9063,Normal,47.64633,-122.3508,11.85,0.42,18.926845849993075
2403,2016,NonResidential,Hotel,7,DOWNTOWN,1914,1.0,4.0,45500,0,45500,Hotel,45500.0,No Use,0.0,No Use,0.0,77.0,2934339.25,Normal,47.60154,-122.3352,122.0,2.68,21.484604737038566
2404,2016,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,1900,1.0,5.0,38376,0,38376,Office,29258.0,Retail Store,2409.0,No Use,0.0,,2142457.5,Normal,47.60106,-122.33458,14.35,0.37,21.030835828539868
2406,2016,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,1900,1.0,4.0,42804,0,42804,Office,24120.0,Retail Store,6583.0,No Use,0.0,,1598032.0,Normal,47.60149,-122.33458,46.53,1.09,20.607865770108695
2407,2016,NonResidential,Mixed Use Property,7,DOWNTOWN,2005,1.0,5.0,57600,0,57600,Residence Hall/Dormitory,27600.0,Multifamily Housing,16000.0,Financial Office,7000.0,,7355579.0,Normal,47.6005,-122.33514,223.36,3.88,22.81040767424857
2409,2016,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,1900,1.0,4.0,33300,0,33300,Office,26639.0,Restaurant,2820.0,Retail Store,2377.0,,1355968.5,Normal,47.60023,-122.33459,18.76,0.56,20.370893297434407
2410,2016,NonResidential,Hotel,7,DOWNTOWN,1900,1.0,3.0,25450,0,25450,Hotel,25450.0,No Use,0.0,No Use,0.0,99.0,492844.5938,Low Outlier,47.60035,-122.33379,3.51,0.14,18.910776202276562
2411,2016,NonResidential,Other,7,DOWNTOWN,1900,1.0,3.0,22200,0,22200,Other,22200.0,No Use,0.0,No Use,0.0,,231847.0938,Normal,47.59976,-122.33514,7.05,0.32,17.822820339701796
2412,2016,NonResidential,Warehouse,7,MAGNOLIA / QUEEN ANNE,1968,1.0,2.0,29498,0,29498,Non-Refrigerated Warehouse,19749.0,Office,9148.0,No Use,0.0,,3930355.5,Normal,47.64306,-122.34219,50.05,1.7,21.906228746300634
2413,2016,NonResidential,Warehouse,4,LAKE UNION,1938,1.0,1.0,23050,0,23050,Non-Refrigerated Warehouse,23050.0,No Use,0.0,No Use,0.0,27.0,486485.3125,Normal,47.64793,-122.34358,3.25,0.14,18.892039689173593
2415,2016,NonResidential,Retail Store,4,NORTHEAST,1930,1.0,1.0,46059,0,46059,Retail Store,46000.0,No Use,0.0,No Use,0.0,82.0,1656820.0,Normal,47.66097,-122.3192,20.66,0.45,20.65998631409124
2432,2016,NonResidential,Medical Office,4,NORTHEAST,1970,1.0,2.0,23595,0,23595,Medical Office,23595.0,No Use,0.0,No Use,0.0,72.0,823716.875,Normal,47.67437,-122.3181,6.53,0.28,19.651790770543013
2438,2016,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,1900,1.0,3.0,28142,0,28142,Office,28142.0,No Use,0.0,No Use,0.0,96.0,911154.125,Normal,47.59938,-122.33328,34.08,1.21,19.797337169535734
2439,2016,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,1900,1.0,3.0,28760,0,28760,Office,12314.0,Retail Store,6020.0,Non-Refrigerated Warehouse,6000.0,,2726126.75,Normal,47.59954,-122.33327,124.59,4.33,21.37842173967457
